CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 59, 0, 36.97, 41.79, 41.54
1, 064, 000, 37, 43, 0, 32.83, 40.82, 39.54
2, 128, 000, 37, 132, 63, 30.58, 38.53, 38.33
3, 192, 000, 0, 35, 0, 31.37, 41.62, 42.06
4, 256, 000, 37, 26, 20, 31.20, 39.93, 39.60
5, 320, 000, 37, 78, 1, 32.41, 43.42, 41.19
6, 384, 000, 0, 10, 0, 33.38, 43.96, 43.12
7, 448, 000, 37, 46, 0, 33.43, 45.36, 44.96
8, 512, 000, 0, 33, 0, 34.07, 44.40, 44.02
9, 576, 000, 0, 9, 0, 33.48, 45.06, 44.40
10, 640, 000, 37, 58, 0, 33.54, 44.12, 42.82
11, 704, 000, 0, 7, 0, 35.99, 44.88, 43.95
12, 768, 000, 0, 7, 0, 35.44, 44.52, 44.31
13, 832, 000, 0, 5, 0, 36.72, 44.40, 43.64
14, 896, 000, 0, 5, 0, 36.79, 43.29, 43.48
15, 960, 000, 0, 4, 0, 35.60, 42.51, 42.05
16, 1024, 000, 0, 4, 0, 37.92, 44.72, 43.25
17, 1088, 000, 0, 7, 0, 37.71, 44.55, 42.94
18, 1152, 000, 0, 6, 0, 37.78, 44.46, 43.91
19, 1216, 000, 0, 26, 0, 35.05, 42.38, 42.30
20, 1280, 000, 0, 3, 0, 37.96, 44.59, 45.59
21, 1344, 000, 0, 2, 0, 38.49, 45.53, 45.30
22, 1408, 000, 0, 2, 0, 36.91, 40.16, 42.84
23, 1472, 000, 0, 19, 0, 32.36, 44.12, 44.76
24, 1536, 000, 0, 2, 0, 36.33, 42.99, 43.78
25, 1600, 000, 0, 2, 0, 35.95, 46.08, 44.27
26, 1664, 000, 37, 47, 0, 35.73, 44.52, 43.04
27, 1728, 000, 37, 71, 0, 33.82, 42.61, 42.21
28, 1792, 000, 0, 9, 0, 35.82, 45.54, 43.80
29, 1856, 000, 0, 4, 0, 35.47, 44.38, 43.28
30, 000, 064, 0, 9, 0, 35.73, 39.93, 43.57
31, 064, 064, 0, 7, 0, 39.33, 41.49, 45.22
32, 128, 064, 0, 23, 0, 37.04, 40.76, 42.61
33, 192, 064, 0, 9, 0, 31.80, 38.83, 37.72
34, 256, 064, 37, 66, 70, 29.75, 39.24, 37.80
35, 320, 064, 0, 5, 0, 32.49, 42.61, 40.60
36, 384, 064, 0, 7, 0, 33.63, 44.61, 43.73
37, 448, 064, 37, 36, 0, 34.36, 46.44, 44.83
38, 512, 064, 0, 4, 0, 34.23, 46.40, 44.71
39, 576, 064, 37, 36, 0, 32.96, 46.18, 43.63
40, 640, 064, 37, 51, 35, 31.51, 42.58, 40.81
41, 704, 064, 37, 40, 0, 32.33, 40.77, 39.32
42, 768, 064, 0, 19, 0, 33.30, 39.30, 38.70
43, 832, 064, 0, 6, 0, 33.58, 40.02, 39.79
44, 896, 064, 0, 21, 0, 33.03, 40.47, 40.17
45, 960, 064, 0, 17, 0, 32.74, 41.02, 40.58
46, 1024, 064, 0, 2, 0, 34.17, 40.94, 41.52
47, 1088, 064, 0, 16, 0, 34.32, 41.49, 41.56
48, 1152, 064, 0, 5, 0, 34.64, 42.62, 41.83
49, 1216, 064, 0, 2, 0, 31.69, 40.95, 41.17
50, 1280, 064, 0, 3, 0, 34.33, 44.17, 43.56
51, 1344, 064, 0, 2, 0, 35.37, 45.61, 44.08
52, 1408, 064, 0, 18, 0, 34.01, 41.02, 42.05
53, 1472, 064, 0, 4, 0, 31.68, 42.67, 42.99
54, 1536, 064, 0, 1, 0, 32.79, 39.74, 40.10
55, 1600, 064, 37, 37, 1, 31.84, 42.73, 39.02
56, 1664, 064, 37, 53, 0, 33.39, 41.14, 38.18
57, 1728, 064, 0, 47, 0, 31.38, 41.59, 38.38
58, 1792, 064, 0, 28, 0, 32.02, 40.67, 39.41
59, 1856, 064, 0, 3, 0, 31.93, 41.40, 38.99
60, 000, 128, 0, 6, 0, 34.95, 39.53, 42.14
61, 064, 128, 0, 8, 0, 33.39, 39.58, 40.81
62, 128, 128, 37, 40, 0, 35.53, 39.43, 42.05
63, 192, 128, 0, 7, 0, 38.21, 41.28, 42.93
64, 256, 128, 0, 5, 0, 34.84, 41.54, 38.78
65, 320, 128, 37, 47, 1, 32.45, 39.02, 37.62
66, 384, 128, 37, 61, 0, 32.71, 37.69, 37.18
67, 448, 128, 0, 29, 0, 32.04, 36.56, 36.96
68, 512, 128, 0, 31, 0, 31.58, 36.04, 35.60
69, 576, 128, 37, 32, 1, 30.14, 35.87, 35.18
70, 640, 128, 0, 22, 0, 29.86, 35.44, 35.18
71, 704, 128, 0, 12, 0, 30.23, 36.29, 36.60
72, 768, 128, 0, 30, 0, 31.18, 37.28, 38.56
73, 832, 128, 0, 4, 0, 31.18, 37.02, 38.31
74, 896, 128, 0, 16, 0, 30.93, 37.08, 38.26
75, 960, 128, 0, 28, 0, 30.11, 37.56, 38.17
76, 1024, 128, 0, 35, 0, 31.83, 37.42, 39.33
77, 1088, 128, 0, 26, 0, 32.36, 37.63, 38.91
78, 1152, 128, 0, 15, 0, 32.02, 36.72, 38.13
79, 1216, 128, 37, 47, 0, 32.55, 36.71, 37.39
80, 1280, 128, 0, 31, 0, 32.69, 36.99, 37.99
81, 1344, 128, 0, 38, 0, 33.19, 38.03, 38.54
82, 1408, 128, 0, 24, 0, 32.34, 37.72, 37.32
83, 1472, 128, 37, 54, 12, 32.51, 38.55, 37.49
84, 1536, 128, 0, 20, 0, 34.14, 38.62, 38.19
85, 1600, 128, 0, 11, 0, 35.20, 41.43, 41.71
86, 1664, 128, 0, 7, 0, 37.67, 42.10, 43.63
87, 1728, 128, 0, 5, 0, 37.34, 42.44, 42.17
88, 1792, 128, 0, 21, 0, 37.91, 42.22, 40.24
89, 1856, 128, 0, 4, 0, 37.32, 41.22, 41.76
90, 000, 192, 0, 8, 0, 36.77, 42.30, 47.19
91, 064, 192, 0, 29, 0, 36.78, 41.44, 46.46
92, 128, 192, 0, 6, 0, 35.93, 41.21, 43.73
93, 192, 192, 0, 5, 0, 33.75, 38.44, 39.87
94, 256, 192, 0, 27, 0, 33.59, 38.07, 38.64
95, 320, 192, 0, 4, 0, 35.25, 39.14, 41.02
96, 384, 192, 0, 6, 0, 34.51, 39.19, 41.18
97, 448, 192, 0, 4, 0, 34.32, 38.35, 40.67
98, 512, 192, 0, 7, 0, 33.56, 39.42, 41.30
99, 576, 192, 0, 4, 0, 33.10, 40.80, 40.78
100, 640, 192, 0, 6, 0, 31.17, 39.29, 40.19
101, 704, 192, 0, 4, 0, 30.60, 38.68, 39.02
102, 768, 192, 0, 23, 0, 32.22, 38.60, 39.37
103, 832, 192, 0, 5, 0, 32.48, 38.91, 40.11
104, 896, 192, 0, 29, 0, 32.15, 38.77, 40.21
105, 960, 192, 0, 9, 0, 34.45, 39.49, 40.49
106, 1024, 192, 0, 7, 0, 34.80, 41.52, 40.45
107, 1088, 192, 0, 5, 0, 34.12, 41.31, 40.64
108, 1152, 192, 0, 4, 0, 33.91, 40.68, 40.31
109, 1216, 192, 0, 3, 0, 33.91, 40.12, 39.96
110, 1280, 192, 0, 2, 0, 34.93, 41.16, 40.65
111, 1344, 192, 0, 24, 0, 35.00, 39.95, 40.52
112, 1408, 192, 0, 5, 0, 34.61, 40.52, 41.48
113, 1472, 192, 0, 4, 0, 32.98, 39.89, 40.62
114, 1536, 192, 0, 4, 0, 34.26, 39.67, 39.57
115, 1600, 192, 0, 6, 0, 36.27, 40.86, 43.18
116, 1664, 192, 0, 5, 0, 34.30, 40.79, 42.37
117, 1728, 192, 0, 3, 0, 32.98, 39.05, 40.08
118, 1792, 192, 37, 40, 0, 33.46, 38.62, 39.16
119, 1856, 192, 0, 39, 0, 33.55, 39.34, 39.68
120, 000, 256, 0, 5, 0, 33.78, 42.10, 46.07
121, 064, 256, 0, 21, 0, 35.56, 40.17, 44.24
122, 128, 256, 0, 8, 0, 35.76, 41.94, 46.90
123, 192, 256, 0, 5, 0, 35.51, 41.09, 45.44
124, 256, 256, 0, 12, 0, 36.39, 42.88, 45.27
125, 320, 256, 0, 5, 0, 35.61, 44.44, 45.61
126, 384, 256, 0, 4, 0, 34.39, 44.33, 44.30
127, 448, 256, 37, 54, 1, 33.85, 42.49, 42.37
128, 512, 256, 37, 166, 42, 34.15, 40.00, 40.62
129, 576, 256, 37, 73, 26, 33.62, 38.79, 41.26
130, 640, 256, 0, 6, 0, 32.49, 40.45, 42.00
131, 704, 256, 0, 4, 0, 32.08, 41.10, 43.53
132, 768, 256, 0, 6, 0, 33.41, 41.82, 43.30
133, 832, 256, 0, 6, 0, 33.73, 41.86, 44.33
134, 896, 256, 0, 6, 0, 34.42, 42.54, 45.54
135, 960, 256, 0, 3, 0, 36.40, 45.77, 46.95
136, 1024, 256, 0, 3, 0, 36.51, 45.85, 46.93
137, 1088, 256, 0, 2, 0, 35.99, 45.22, 46.37
138, 1152, 256, 0, 2, 0, 36.65, 45.68, 46.08
139, 1216, 256, 0, 4, 0, 35.40, 45.19, 43.68
140, 1280, 256, 0, 4, 0, 36.09, 46.37, 46.75
141, 1344, 256, 0, 2, 0, 36.34, 46.18, 46.29
142, 1408, 256, 0, 6, 0, 35.48, 45.85, 45.58
143, 1472, 256, 0, 5, 0, 35.69, 43.88, 44.29
144, 1536, 256, 0, 2, 0, 33.42, 41.10, 42.69
145, 1600, 256, 0, 4, 0, 35.75, 45.34, 43.99
146, 1664, 256, 0, 6, 0, 35.01, 44.43, 43.19
147, 1728, 256, 37, 55, 1, 31.10, 38.77, 37.49
148, 1792, 256, 0, 5, 0, 30.63, 38.76, 37.12
149, 1856, 256, 0, 36, 0, 35.40, 44.91, 43.38
150, 000, 320, 0, 7, 0, 35.17, 41.82, 42.60
151, 064, 320, 0, 2, 0, 33.94, 40.54, 41.92
152, 128, 320, 0, 6, 0, 34.47, 41.51, 47.10
153, 192, 320, 0, 5, 0, 33.68, 40.90, 44.53
154, 256, 320, 0, 34, 0, 36.28, 43.92, 47.45
155, 320, 320, 0, 3, 0, 34.14, 42.95, 45.71
156, 384, 320, 0, 5, 0, 33.84, 42.89, 43.34
157, 448, 320, 37, 95, 1, 32.29, 40.20, 41.13
158, 512, 320, 0, 21, 0, 35.37, 42.14, 41.75
159, 576, 320, 37, 81, 61, 33.97, 40.49, 41.54
160, 640, 320, 37, 110, 52, 29.98, 38.27, 39.43
161, 704, 320, 37, 61, 58, 29.61, 37.23, 38.12
162, 768, 320, 37, 69, 0, 31.62, 39.61, 39.29
163, 832, 320, 0, 5, 0, 34.24, 39.87, 40.92
164, 896, 320, 0, 5, 0, 33.18, 39.68, 40.41
165, 960, 320, 37, 97, 41, 33.98, 38.34, 40.24
166, 1024, 320, 37, 128, 49, 31.63, 37.67, 38.51
167, 1088, 320, 37, 82, 28, 31.14, 37.86, 38.29
168, 1152, 320, 0, 5, 0, 35.41, 44.31, 43.98
169, 1216, 320, 0, 4, 0, 34.55, 44.77, 42.52
170, 1280, 320, 0, 3, 0, 35.69, 45.52, 43.09
171, 1344, 320, 0, 3, 0, 35.93, 45.52, 42.92
172, 1408, 320, 37, 29, 1, 34.46, 45.05, 46.04
173, 1472, 320, 37, 156, 174, 31.06, 39.46, 39.86
174, 1536, 320, 37, 51, 7, 32.61, 38.97, 40.17
175, 1600, 320, 0, 8, 0, 35.29, 40.45, 41.45
176, 1664, 320, 37, 27, 16, 33.44, 40.55, 41.48
177, 1728, 320, 0, 4, 0, 33.66, 41.08, 41.92
178, 1792, 320, 0, 3, 0, 34.67, 41.79, 41.04
179, 1856, 320, 0, 8, 0, 35.43, 41.44, 41.54
180, 000, 384, 0, 4, 0, 34.78, 42.59, 44.70
181, 064, 384, 0, 8, 0, 35.70, 42.13, 45.18
182, 128, 384, 37, 29, 1, 36.89, 41.17, 44.76
183, 192, 384, 37, 107, 18, 34.49, 40.27, 43.92
184, 256, 384, 37, 106, 22, 35.52, 41.64, 39.90
185, 320, 384, 37, 97, 21, 34.50, 42.27, 33.46
186, 384, 384, 37, 141, 2, 32.22, 39.59, 32.77
187, 448, 384, 37, 98, 5, 32.19, 39.55, 32.28
188, 512, 384, 37, 68, 9, 33.64, 40.85, 37.65
189, 576, 384, 37, 72, 32, 32.46, 42.31, 42.49
190, 640, 384, 37, 111, 56, 32.22, 41.68, 42.71
191, 704, 384, 37, 102, 104, 31.21, 39.21, 38.29
192, 768, 384, 0, 11, 0, 33.49, 43.67, 43.83
193, 832, 384, 0, 4, 0, 34.42, 45.23, 45.78
194, 896, 384, 0, 4, 0, 33.31, 38.87, 38.64
195, 960, 384, 37, 100, 4, 32.58, 38.72, 34.13
196, 1024, 384, 37, 175, 60, 31.13, 39.42, 33.96
197, 1088, 384, 37, 169, 103, 32.51, 37.35, 38.00
198, 1152, 384, 0, 6, 0, 36.61, 46.81, 46.38
199, 1216, 384, 0, 7, 0, 35.62, 46.08, 44.21
200, 1280, 384, 0, 6, 0, 36.28, 47.37, 45.07
201, 1344, 384, 0, 5, 0, 36.38, 47.68, 44.67
202, 1408, 384, 37, 96, 0, 32.31, 41.26, 42.75
203, 1472, 384, 37, 126, 30, 29.52, 37.76, 36.73
204, 1536, 384, 37, 44, 0, 33.22, 39.64, 40.25
205, 1600, 384, 0, 6, 0, 35.41, 45.04, 46.15
206, 1664, 384, 0, 6, 0, 34.35, 41.22, 43.93
207, 1728, 384, 37, 53, 69, 33.07, 37.45, 41.27
208, 1792, 384, 37, 37, 17, 33.02, 37.22, 39.42
209, 1856, 384, 37, 39, 1, 34.01, 38.93, 41.35
210, 000, 448, 37, 96, 59, 34.95, 40.30, 38.66
211, 064, 448, 37, 120, 32, 34.46, 40.37, 39.72
212, 128, 448, 37, 81, 9, 33.73, 38.38, 42.04
213, 192, 448, 37, 107, 9, 35.02, 36.21, 40.27
214, 256, 448, 37, 97, 25, 33.85, 37.83, 35.80
215, 320, 448, 37, 137, 414, 33.36, 39.92, 34.29
216, 384, 448, 37, 137, 376, 33.10, 40.27, 31.96
217, 448, 448, 0, 9, 0, 34.53, 45.78, 38.86
218, 512, 448, 37, 89, 60, 32.52, 40.77, 34.71
219, 576, 448, 37, 139, 208, 32.53, 41.00, 38.47
220, 640, 448, 37, 181, 110, 32.08, 39.07, 40.28
221, 704, 448, 37, 207, 269, 31.40, 37.15, 36.33
222, 768, 448, 37, 68, 9, 33.75, 43.32, 39.19
223, 832, 448, 0, 8, 0, 34.83, 44.43, 46.86
224, 896, 448, 0, 6, 0, 32.76, 38.62, 38.68
225, 960, 448, 37, 119, 71, 31.70, 38.63, 34.56
226, 1024, 448, 37, 86, 53, 31.00, 38.07, 33.84
227, 1088, 448, 0, 48, 0, 33.51, 45.92, 45.89
228, 1152, 448, 0, 6, 0, 34.22, 45.15, 46.46
229, 1216, 448, 37, 44, 12, 34.60, 44.11, 43.98
230, 1280, 448, 0, 13, 0, 36.47, 47.31, 47.42
231, 1344, 448, 0, 8, 0, 36.54, 47.71, 47.92
232, 1408, 448, 37, 359, 348, 27.02, 32.53, 35.03
233, 1472, 448, 37, 55, 0, 29.67, 38.28, 38.09
234, 1536, 448, 37, 61, 33, 33.68, 40.59, 40.33
235, 1600, 448, 0, 7, 0, 34.85, 45.31, 45.23
236, 1664, 448, 0, 7, 0, 34.67, 39.50, 42.45
237, 1728, 448, 37, 242, 454, 29.79, 34.83, 35.03
238, 1792, 448, 37, 280, 419, 29.00, 33.32, 33.48
239, 1856, 448, 37, 154, 77, 29.91, 33.87, 32.32
240, 000, 512, 37, 80, 172, 34.70, 40.19, 39.22
241, 064, 512, 37, 107, 18, 34.40, 36.07, 36.53
242, 128, 512, 0, 21, 0, 36.42, 40.37, 38.17
243, 192, 512, 37, 83, 2, 35.80, 41.11, 34.23
244, 256, 512, 37, 156, 83, 32.81, 38.86, 34.00
245, 320, 512, 37, 142, 176, 32.00, 40.01, 32.07
246, 384, 512, 37, 86, 240, 32.50, 41.39, 34.55
247, 448, 512, 37, 101, 67, 32.76, 40.33, 31.94
248, 512, 512, 37, 143, 127, 34.45, 41.44, 36.94
249, 576, 512, 37, 96, 17, 35.67, 44.30, 45.24
250, 640, 512, 37, 112, 69, 31.53, 37.10, 37.96
251, 704, 512, 37, 173, 275, 31.69, 37.09, 37.21
252, 768, 512, 37, 139, 85, 33.80, 41.94, 40.56
253, 832, 512, 37, 29, 3, 33.98, 43.14, 45.63
254, 896, 512, 37, 33, 0, 33.12, 38.17, 38.07
255, 960, 512, 37, 101, 4, 32.50, 36.65, 35.09
256, 1024, 512, 37, 104, 35, 30.75, 38.33, 33.61
257, 1088, 512, 37, 75, 17, 32.01, 40.24, 36.55
258, 1152, 512, 0, 31, 0, 35.35, 43.70, 44.63
