FrameNo., POC, Slice, SliceQP, AvgQP, MaxQP, MinQP, PSNR-YUV, PSNR-Prev, PSNR-Avg, SSIM-YUV, SSIM-Prev, SSIM-Avg, Bits, Bits-Avg, Bits-FRMAvg, GOP-GOPAvg, CPB Full, CPB CHK, SAOBits, HdrBits, DataBits
0, 0, I, 37, 37, 37, 37, 37.41, +0.00, +0.92, 0.0000, +0.0000, +0.0000, 170464, +97848, +92294, -138852,-nan(ind)%, -1,1803, 15194, 155230
1, 1, P, 37, 37, 37, 37, 37.02, -0.39, +0.53, 0.0000, +0.0000, +0.0000, 66376, -6240, -11794, ,-nan(ind)%, -1,2817, 17549, 48779
2, 2, P, 37, 37, 37, 37, 37.00, -0.02, +0.51, 0.0000, +0.0000, +0.0000, 72752, +136, -5418, ,-nan(ind)%, -1,3145, 20959, 51745
3, 3, P, 37, 37, 37, 37, 37.05, +0.05, +0.57, 0.0000, +0.0000, +0.0000, 80128, +7512, +1958, ,-nan(ind)%, -1,2968, 19033, 61047
4, 4, P, 37, 37, 37, 37, 36.98, -0.07, +0.49, 0.0000, +0.0000, +0.0000, 73040, +424, -5130, ,-nan(ind)%, -1,2721, 18089, 54903
5, 5, P, 37, 37, 37, 37, 36.91, -0.07, +0.43, 0.0000, +0.0000, +0.0000, 77536, +4920, -634, ,-nan(ind)%, -1,3205, 19357, 58131
6, 6, P, 37, 37, 37, 37, 36.79, -0.12, +0.31, 0.0000, +0.0000, +0.0000, 76944, +4328, -1226, ,-nan(ind)%, -1,3544, 20432, 56464
7, 7, P, 37, 37, 37, 37, 36.84, +0.05, +0.35, 0.0000, +0.0000, +0.0000, 78192, +5576, +22, ,-nan(ind)%, -1,3553, 20709, 57435
8, 8, P, 37, 37, 37, 37, 36.86, +0.02, +0.37, 0.0000, +0.0000, +0.0000, 73816, +1200, -4354, ,-nan(ind)%, -1,3448, 20261, 53507
9, 9, P, 37, 37, 37, 37, 36.86, -0.00, +0.37, 0.0000, +0.0000, +0.0000, 70792, -1824, -7378, ,-nan(ind)%, -1,3280, 18365, 52379
10, 10, P, 37, 37, 37, 37, 36.89, +0.03, +0.40, 0.0000, +0.0000, +0.0000, 71688, -928, -6482, ,-nan(ind)%, -1,2857, 18636, 53004
11, 11, P, 37, 37, 37, 37, 36.81, -0.08, +0.32, 0.0000, +0.0000, +0.0000, 64352, -8264, -13818, ,-nan(ind)%, -1,3024, 18088, 46216
12, 12, P, 37, 37, 37, 37, 36.89, +0.08, +0.40, 0.0000, +0.0000, +0.0000, 62952, -9664, -15218, ,-nan(ind)%, -1,3454, 18404, 44500
13, 13, P, 37, 37, 37, 37, 36.85, -0.04, +0.36, 0.0000, +0.0000, +0.0000, 66384, -6232, -11786, ,-nan(ind)%, -1,3344, 18000, 48336
14, 14, P, 37, 37, 37, 37, 36.97, +0.12, +0.48, 0.0000, +0.0000, +0.0000, 64288, -8328, -13882, ,-nan(ind)%, -1,3013, 17332, 46908
15, 15, P, 37, 37, 37, 37, 36.84, -0.13, +0.35, 0.0000, +0.0000, +0.0000, 64128, -8488, -14042, ,-nan(ind)%, -1,3187, 17693, 46387
16, 16, P, 37, 37, 37, 37, 36.89, +0.05, +0.40, 0.0000, +0.0000, +0.0000, 64536, -8080, -13634, ,-nan(ind)%, -1,3166, 17807, 46681
17, 17, P, 37, 37, 37, 37, 36.82, -0.07, +0.33, 0.0000, +0.0000, +0.0000, 62256, -10360, -15914, ,-nan(ind)%, -1,2915, 17166, 45042
18, 18, P, 37, 37, 37, 37, 36.81, -0.01, +0.32, 0.0000, +0.0000, +0.0000, 60888, -11728, -17282, ,-nan(ind)%, -1,3280, 18034, 42806
19, 19, P, 37, 37, 37, 37, 36.79, -0.02, +0.30, 0.0000, +0.0000, +0.0000, 58712, -13904, -19458, ,-nan(ind)%, -1,3166, 18097, 40567
20, 20, P, 37, 37, 37, 37, 36.82, +0.03, +0.33, 0.0000, +0.0000, +0.0000, 63264, -9352, -14906, ,-nan(ind)%, -1,3924, 19496, 43720
21, 21, P, 37, 37, 37, 37, 36.82, -0.00, +0.33, 0.0000, +0.0000, +0.0000, 63360, -9256, -14810, ,-nan(ind)%, -1,3081, 19313, 43999
22, 22, P, 37, 37, 37, 37, 36.74, -0.08, +0.25, 0.0000, +0.0000, +0.0000, 63088, -9528, -15082, ,-nan(ind)%, -1,3528, 19414, 43626
23, 23, P, 37, 37, 37, 37, 36.78, +0.04, +0.29, 0.0000, +0.0000, +0.0000, 71440, -1176, -6730, ,-nan(ind)%, -1,3268, 20311, 51081
24, 24, P, 37, 37, 37, 37, 36.74, -0.03, +0.26, 0.0000, +0.0000, +0.0000, 74000, +1384, -4170, ,-nan(ind)%, -1,3297, 20405, 53547
25, 25, P, 37, 37, 37, 37, 36.67, -0.07, +0.19, 0.0000, +0.0000, +0.0000, 76544, -7180, -1626, +138852,-nan(ind)%, -1,3241, 20067, 56429
26, 26, P, 37, 37, 37, 37, 36.59, -0.08, +0.10, 0.0000, +0.0000, +0.0000, 79000, -4724, +830, ,-nan(ind)%, -1,3186, 21193, 57759
27, 27, P, 37, 37, 37, 37, 36.43, -0.16, -0.06, 0.0000, +0.0000, +0.0000, 78128, -5596, -42, ,-nan(ind)%, -1,3525, 21583, 56497
28, 28, P, 37, 37, 37, 37, 36.43, -0.00, -0.06, 0.0000, +0.0000, +0.0000, 81280, -2444, +3110, ,-nan(ind)%, -1,3784, 21217, 60015
29, 29, P, 37, 37, 37, 37, 36.35, -0.09, -0.14, 0.0000, +0.0000, +0.0000, 75704, -8020, -2466, ,-nan(ind)%, -1,4342, 21901, 53755
30, 30, P, 37, 37, 37, 37, 36.42, +0.08, -0.07, 0.0000, +0.0000, +0.0000, 78880, -4844, +710, ,-nan(ind)%, -1,4277, 21867, 56965
31, 31, P, 37, 37, 37, 37, 36.48, +0.06, -0.01, 0.0000, +0.0000, +0.0000, 77200, -6524, -970, ,-nan(ind)%, -1,4006, 22306, 54846
32, 32, P, 37, 37, 37, 37, 36.36, -0.12, -0.13, 0.0000, +0.0000, +0.0000, 77152, -6572, -1018, ,-nan(ind)%, -1,4149, 23357, 53747
33, 33, P, 37, 37, 37, 37, 36.34, -0.02, -0.15, 0.0000, +0.0000, +0.0000, 83920, +196, +5750, ,-nan(ind)%, -1,4719, 24170, 59702
34, 34, P, 37, 37, 37, 37, 36.34, -0.00, -0.15, 0.0000, +0.0000, +0.0000, 82576, -1148, +4406, ,-nan(ind)%, -1,4140, 23799, 58729
35, 35, P, 37, 37, 37, 37, 36.25, -0.09, -0.24, 0.0000, +0.0000, +0.0000, 80816, -2908, +2646, ,-nan(ind)%, -1,4420, 24281, 56487
36, 36, P, 37, 37, 37, 37, 36.18, -0.07, -0.30, 0.0000, +0.0000, +0.0000, 81152, -2572, +2982, ,-nan(ind)%, -1,4476, 24419, 56685
37, 37, P, 37, 37, 37, 37, 36.12, -0.07, -0.37, 0.0000, +0.0000, +0.0000, 83584, -140, +5414, ,-nan(ind)%, -1,4905, 25208, 58328
38, 38, P, 37, 37, 37, 37, 36.12, +0.01, -0.37, 0.0000, +0.0000, +0.0000, 83664, -60, +5494, ,-nan(ind)%, -1,4488, 24524, 59092
39, 39, P, 37, 37, 37, 37, 36.10, -0.02, -0.39, 0.0000, +0.0000, +0.0000, 81848, -1876, +3678, ,-nan(ind)%, -1,4234, 23967, 57833
40, 40, P, 37, 37, 37, 37, 36.11, +0.01, -0.37, 0.0000, +0.0000, +0.0000, 82144, -1580, +3974, ,-nan(ind)%, -1,4656, 24788, 57308
41, 41, P, 37, 37, 37, 37, 36.03, -0.08, -0.46, 0.0000, +0.0000, +0.0000, 81336, -2388, +3166, ,-nan(ind)%, -1,4343, 24334, 56954
42, 42, P, 37, 37, 37, 37, 35.93, -0.10, -0.56, 0.0000, +0.0000, +0.0000, 84704, +980, +6534, ,-nan(ind)%, -1,4428, 24880, 59776
43, 43, P, 37, 37, 37, 37, 35.86, -0.07, -0.63, 0.0000, +0.0000, +0.0000, 88808, +5084, +10638, ,-nan(ind)%, -1,4481, 24473, 64287
44, 44, P, 37, 37, 37, 37, 35.69, -0.17, -0.80, 0.0000, +0.0000, +0.0000, 90328, +6604, +12158, ,-nan(ind)%, -1,4432, 25663, 64617
45, 45, P, 37, 37, 37, 37, 35.62, -0.07, -0.87, 0.0000, +0.0000, +0.0000, 93064, +9340, +14894, ,-nan(ind)%, -1,4334, 25161, 67855
46, 46, P, 37, 37, 37, 37, 35.46, -0.16, -1.02, 0.0000, +0.0000, +0.0000, 92480, +8756, +14310, ,-nan(ind)%, -1,4295, 25271, 67161
47, 47, P, 37, 37, 37, 37, 35.47, +0.01, -1.01, 0.0000, +0.0000, +0.0000, 92256, +8532, +14086, ,-nan(ind)%, -1,4662, 25769, 66439
48, 48, P, 37, 37, 37, 37, 35.39, -0.09, -1.10, 0.0000, +0.0000, +0.0000, 91664, +7940, +13494, ,-nan(ind)%, -1,4887, 27069, 64547
49, 49, P, 37, 37, 37, 37, 35.44, +0.05, -1.05, 0.0000, +0.0000, +0.0000, 94848, +11124, +16678, ,-nan(ind)%, -1,4569, 26926, 67874

Bitstream: D:\tpra_cmodel\HEVC_Encoder_MODEL\HEVC_encoder\simulation\vc\WinPrj\test_enc.h265
Width x Height: 1920 x 1088
Total Frame Counts: 50
Total GOPs: 2
CPB Max Size: 0.00 Kbits
Target Rate of GOP(25): 0.00 Kbits
Total CPB Overflow Counts = 0
Total CPB Underflow Counts = 50
AVBR Estimated File Size: 0.00 Kbits
AVBR Actual File Size: 3908.46 Kbits
AVBR File Size Diff: +inf%
Average Flicker: 0

, MAX, MIN, AVG, STD
QP, 37, 37, 0, 0
PSNR-YUV, 37.41, 35.39, 36.49, 0.49, dB
SSIM-YUV, 0.0000, 0.0000, 0.0000, 0.0000
GOP Rate, 2093.08, 1815.38, 1954.23, 138.85, KBits
FRM Rate, 170.46, 58.71, 78.17, 16.25, KBits

